customer_id,product_id,purchase_id,purchase_date
1,42,1,2023-05-25 14:57:00.298177
2,305,2,2023-05-19 14:57:00.298194
3,494,3,2022-11-30 14:57:00.298199
4,213,4,2022-10-23 14:57:00.298204
5,396,5,2023-08-04 14:57:00.298208
6,125,6,2022-09-19 14:57:00.298212
7,456,7,2023-06-09 14:57:00.298217
8,40,8,2022-09-20 14:57:00.298221
9,396,9,2023-02-11 14:57:00.298225
10,274,10,2023-06-24 14:57:00.298229
11,317,11,2022-09-12 14:57:00.298233
12,440,12,2023-04-28 14:57:00.298238
13,336,13,2022-08-21 14:57:00.298242
14,134,14,2022-10-29 14:57:00.298246
15,138,15,2022-10-04 14:57:00.298250
16,470,16,2022-08-21 14:57:00.298255
17,219,17,2023-04-10 14:57:00.298259
18,316,18,2022-11-01 14:57:00.298263
19,421,19,2023-07-24 14:57:00.298267
20,464,20,2023-05-15 14:57:00.298271
21,26,21,2023-02-28 14:57:00.298275
22,123,22,2023-05-02 14:57:00.298279
23,467,23,2023-05-05 14:57:00.298283
24,26,24,2023-07-09 14:57:00.298286
25,234,25,2023-06-27 14:57:00.298291
26,120,26,2023-01-22 14:57:00.298295
27,101,27,2023-06-18 14:57:00.298298
28,465,28,2023-08-04 14:57:00.298302
29,376,29,2022-12-13 14:57:00.298306
30,220,30,2022-08-20 14:57:00.298310
31,187,31,2023-02-28 14:57:00.298314
32,99,32,2023-07-14 14:57:00.298318
33,32,33,2023-07-29 14:57:00.298322
34,306,34,2022-10-18 14:57:00.298326
35,83,35,2023-03-07 14:57:00.298330
36,164,36,2022-08-29 14:57:00.298334
37,93,37,2022-12-21 14:57:00.298338
38,344,38,2022-10-24 14:57:00.298342
39,76,39,2023-01-20 14:57:00.298346
40,53,40,2023-06-19 14:57:00.298350
41,403,41,2023-07-28 14:57:00.298354
42,277,42,2023-02-15 14:57:00.298358
43,352,43,2023-06-19 14:57:00.298362
44,217,44,2023-03-31 14:57:00.298365
45,265,45,2023-05-17 14:57:00.298369
46,334,46,2023-01-19 14:57:00.298373
47,411,47,2023-07-26 14:57:00.298377
48,362,48,2023-08-12 14:57:00.298381
49,394,49,2023-07-08 14:57:00.298385
50,162,50,2022-08-22 14:57:00.298389
51,89,51,2023-04-30 14:57:00.298393
52,32,52,2023-08-03 14:57:00.298397
53,297,53,2023-01-14 14:57:00.298401
54,203,54,2023-07-08 14:57:00.298405
55,400,55,2023-01-21 14:57:00.298409
56,327,56,2023-01-28 14:57:00.298414
57,88,57,2023-02-20 14:57:00.298418
58,123,58,2023-03-15 14:57:00.298422
59,150,59,2022-10-05 14:57:00.298426
60,95,60,2023-07-25 14:57:00.298430
61,442,61,2023-05-26 14:57:00.298434
62,499,62,2023-08-04 14:57:00.298438
63,351,63,2023-06-27 14:57:00.298442
64,21,64,2023-05-16 14:57:00.298446
65,231,65,2022-09-16 14:57:00.298450
66,396,66,2022-09-06 14:57:00.298454
67,232,67,2023-07-04 14:57:00.298458
68,191,68,2023-07-11 14:57:00.298462
69,170,69,2023-05-26 14:57:00.298466
70,371,70,2022-11-25 14:57:00.298470
71,13,71,2023-01-06 14:57:00.298474
72,246,72,2022-09-06 14:57:00.298478
73,343,73,2022-10-02 14:57:00.298482
74,289,74,2023-05-15 14:57:00.298486
75,473,75,2022-12-20 14:57:00.298490
76,185,76,2023-05-31 14:57:00.298494
77,118,77,2023-04-12 14:57:00.298498
78,174,78,2023-02-15 14:57:00.298502
79,407,79,2022-10-06 14:57:00.298506
80,14,80,2023-05-06 14:57:00.298510
81,255,81,2023-03-28 14:57:00.298514
82,23,82,2023-02-09 14:57:00.298517
83,213,83,2022-12-10 14:57:00.298521
84,155,84,2023-03-29 14:57:00.298525
85,33,85,2023-04-08 14:57:00.298529
86,51,86,2022-09-06 14:57:00.298533
87,22,87,2023-06-07 14:57:00.298537
88,488,88,2023-06-13 14:57:00.298541
89,392,89,2023-01-14 14:57:00.298545
90,485,90,2022-11-11 14:57:00.298549
91,466,91,2023-06-11 14:57:00.298553
92,427,92,2023-07-18 14:57:00.298557
93,193,93,2022-11-18 14:57:00.298561
94,435,94,2022-11-21 14:57:00.298565
95,333,95,2023-06-23 14:57:00.298569
